info,year 1,year 2,year 3,year 4,year 5,model year,model,engine,cost,,,
Insurance,1763,1825,1889,1955,2023,2023,Audi e-tron Chronos Edition 4dr SUV AWD,electric DD,88473,1,,
Maintenance,185,772,413,3544,1690,2023,Audi e-tron Chronos Edition 4dr SUV AWD,electric DD,88473,2,,
Repairs,0,0,0,801,1223,2023,Audi e-tron Chronos Edition 4dr SUV AWD,electric DD,88473,3,,
Taxes_Fees,5574,398,356,323,323,2023,Audi e-tron Chronos Edition 4dr SUV AWD,electric DD,88473,4,,
Financing,6998,5703,4279,2714,994,2023,Audi e-tron Chronos Edition 4dr SUV AWD,electric DD,88473,5,,
Depreciation,37866,5791,4733,5304,4635,2023,Audi e-tron Chronos Edition 4dr SUV AWD,electric DD,88473,6,,
Fuel,1198,1234,1271,1309,1348,2023,Audi e-tron Chronos Edition 4dr SUV AWD,electric DD,88473,7,,
Insurance,1763,1825,1889,1955,2023,2023,Audi e-tron GT Premium Plus 4dr Sedan AWD,electric 2A,88666,1,,
Maintenance,141,1434,385,4822,1645,2023,Audi e-tron GT Premium Plus 4dr Sedan AWD,electric 2A,88666,2,,
Repairs,0,0,0,940,1434,2023,Audi e-tron GT Premium Plus 4dr Sedan AWD,electric 2A,88666,3,,
Taxes_Fees,6843,489,438,397,397,2023,Audi e-tron GT Premium Plus 4dr Sedan AWD,electric 2A,88666,4,,
Financing,7013,5715,4289,2720,996,2023,Audi e-tron GT Premium Plus 4dr Sedan AWD,electric 2A,88666,5,,
Depreciation,9388,6193,5061,5671,4957,2023,Audi e-tron GT Premium Plus 4dr Sedan AWD,electric 2A,88666,6,,
Fuel,1142,1176,1211,1248,1285,2023,Audi e-tron GT Premium Plus 4dr Sedan AWD,electric 2A,88666,7,,
Insurance,1763,1825,1889,1955,2023,2023,Audi e-tron GT Prestige 4dr Sedan AWD,electric 2A,98487,1,,
Maintenance,141,1434,385,4822,1645,2023,Audi e-tron GT Prestige 4dr Sedan AWD,electric 2A,98487,2,,
Repairs,0,0,0,940,1434,2023,Audi e-tron GT Prestige 4dr Sedan AWD,electric 2A,98487,3,,
Taxes_Fees,7461,533,477,433,433,2023,Audi e-tron GT Prestige 4dr Sedan AWD,electric 2A,98487,4,,
Financing,7790,6348,4763,3022,1107,2023,Audi e-tron GT Prestige 4dr Sedan AWD,electric 2A,98487,5,,
Depreciation,12771,6691,5467,6127,5355,2023,Audi e-tron GT Prestige 4dr Sedan AWD,electric 2A,98487,6,,
Fuel,1142,1176,1211,1248,1285,2023,Audi e-tron GT Prestige 4dr Sedan AWD,electric 2A,98487,7,,
Insurance,1763,1825,1889,1955,2023,2023,Audi e-tron Premium 4dr SUV AWD,electric DD,76191,1,,
Maintenance,185,772,413,3544,1690,2023,Audi e-tron Premium 4dr SUV AWD,electric DD,76191,2,,
Repairs,0,0,0,801,1223,2023,Audi e-tron Premium 4dr SUV AWD,electric DD,76191,3,,
Taxes_Fees,4801,343,307,278,278,2023,Audi e-tron Premium 4dr SUV AWD,electric DD,76191,4,,
Financing,6026,4911,3685,2338,856,2023,Audi e-tron Premium 4dr SUV AWD,electric DD,76191,5,,
Depreciation,32192,5041,4119,4617,4034,2023,Audi e-tron Premium 4dr SUV AWD,electric DD,76191,6,,
Fuel,1198,1234,1271,1309,1348,2023,Audi e-tron Premium 4dr SUV AWD,electric DD,76191,7,,
Insurance,1763,1825,1889,1955,2023,2023,Audi e-tron Premium Plus 4dr SUV AWD,electric DD,82980,1,,
Maintenance,185,772,413,3544,1690,2023,Audi e-tron Premium Plus 4dr SUV AWD,electric DD,82980,2,,
Repairs,0,0,0,801,1223,2023,Audi e-tron Premium Plus 4dr SUV AWD,electric DD,82980,3,,
Taxes_Fees,5228,373,334,303,303,2023,Audi e-tron Premium Plus 4dr SUV AWD,electric DD,82980,4,,
Financing,6563,5349,4013,2546,933,2023,Audi e-tron Premium Plus 4dr SUV AWD,electric DD,82980,5,,
Depreciation,35521,5431,4438,4974,4346,2023,Audi e-tron Premium Plus 4dr SUV AWD,electric DD,82980,6,,
Fuel,1198,1234,1271,1309,1348,2023,Audi e-tron Premium Plus 4dr SUV AWD,electric DD,82980,7,,
Insurance,1763,1825,1889,1955,2023,2023,Audi e-tron S Sportback Premium Plus 4dr SUV AWD,electric DD,97202,1,,
